ReviewID,CustomerID,ProductID,ReviewText,Rating,ReviewDate
1,2057,19,Okay Dresses.,3,2025-11-27 05:14:25.279698
2,1613,203,Not good Dresses!,1,2025-12-03 05:14:25.279698
3,1804,445,Average Shoes.,3,2025-11-10 05:14:25.279698
4,1124,103,Very good Mens Jackets!,5,2025-12-21 05:14:25.279698
5,1528,324,Too small Womens Sneakers!,1,2025-12-22 05:14:25.279698
6,3045,64,Great Shoes!,4,2025-11-22 05:14:25.279698
7,3292,414,Satisfactory Accessories.,3,2025-12-22 05:14:25.279698
8,3600,91,Great Dresses!,5,2025-12-14 05:14:25.279698
9,475,205,Very good Womens Sneakers!,4,2025-12-17 05:14:25.279698
10,1602,278,Average Womens Sneakers.,3,2025-12-21 05:14:25.279698
11,2604,227,Amazing Shirts!,5,2025-11-10 05:14:25.279698
12,928,471,Excellent Mens Jackets!,5,2025-12-14 05:14:25.279698
13,746,345,Bad Dresses!,1,2025-12-14 05:14:25.279698
14,2230,112,Amazing Dresses!,4,2025-12-11 05:14:25.279698
15,4101,318,Poor quality Womens Sneakers!,1,2025-11-20 05:14:25.279698
16,2547,300,Average Accessories.,3,2025-12-12 05:14:25.279698
17,1513,428,Too small Womens Sneakers!,1,2025-11-23 05:14:25.279698
18,2544,161,Too small Accessories!,2,2025-12-31 05:14:25.279698
19,1724,340,Okay Shoes.,3,2025-12-02 05:14:25.279698
20,4003,116,Love this Pants!,4,2025-11-26 05:14:25.279698
21,2040,154,Not good Shirts!,2,2025-12-10 05:14:25.279698
22,180,177,Too small Mens Jackets!,1,2025-11-14 05:14:25.279698
23,2415,107,Great Womens Sneakers!,4,2025-11-03 05:14:25.279698
24,63,311,Poor quality Pants!,2,2025-11-29 05:14:25.279698
25,4577,108,Amazing Womens Sneakers!,5,2025-12-26 05:14:25.279698
26,1832,411,Bad Shoes!,2,2025-12-11 05:14:25.279698
27,3198,353,Very good Shoes!,5,2025-11-27 05:14:25.279698
28,2723,414,Too small Mens Jackets!,1,2025-11-14 05:14:25.279698
29,4743,65,Great Mens Jackets!,5,2025-11-24 05:14:25.279698
30,4123,157,Poor quality Womens Sneakers!,1,2025-12-22 05:14:25.279698
31,3144,116,Average Shirts.,3,2025-11-08 05:14:25.279698
32,3397,290,Amazing Dresses!,5,2025-12-30 05:14:25.279698
33,3439,158,Poor quality Dresses!,2,2025-12-29 05:14:25.279698
34,4948,178,Great Shirts!,4,2025-11-06 05:14:25.279698
35,2460,88,Love this Accessories!,4,2025-12-10 05:14:25.279698
36,1292,69,Poor quality Mens Jackets!,2,2025-12-24 05:14:25.279698
37,495,422,Poor quality Womens Sneakers!,2,2025-12-30 05:14:25.279698
38,2227,257,Too small Dresses!,1,2025-11-07 05:14:25.279698
39,4199,166,Love this Pants!,4,2025-12-28 05:14:25.279698
40,1805,104,Not good Womens Sneakers!,1,2025-12-10 05:14:25.279698
41,4618,465,Very good Womens Sneakers!,5,2025-12-30 05:14:25.279698
42,3662,118,Amazing Mens Jackets!,4,2025-12-31 05:14:25.279698
43,2702,23,Great Accessories!,4,2025-12-31 05:14:25.279698
44,4862,270,Great Pants!,5,2025-11-06 05:14:25.279698
45,1588,419,Average Shirts.,3,2025-11-11 05:14:25.279698
46,3261,389,Great Mens Jackets!,4,2025-11-15 05:14:25.279698
47,2227,72,Okay Mens Jackets.,3,2025-12-29 05:14:25.279698
48,532,13,Disappointed Dresses!,1,2025-12-24 05:14:25.279698
