ReviewID,CustomerID,ProductID,ReviewText,Rating
1,2283,416,Love this Mens Jackets!,5
2,1003,132,Satisfactory Dresses.,3
3,2728,195,Great Womens Sneakers!,5
4,3839,269,Disappointed Pants!,2
5,3385,394,Okay Pants.,3
6,3669,71,Excellent Mens Jackets!,4
7,556,10,Excellent Accessories!,5
8,55,38,Okay Mens Jackets.,3
9,1086,206,Love this Womens Sneakers!,5
10,4376,356,Okay Shirts.,3
11,3530,350,Too small Mens Jackets!,2
12,1323,157,Excellent Womens Sneakers!,5
13,4800,402,Satisfactory Pants.,3
14,409,208,Satisfactory Shirts.,3
15,2545,61,Poor quality Womens Sneakers!,1
16,3099,60,Very good Shirts!,4
17,2722,460,Amazing Shoes!,4
18,4188,275,Bad Shoes!,1
19,1053,102,Disappointed Pants!,2
20,3928,331,Poor quality Dresses!,1
21,4026,72,Average Womens Sneakers.,3
22,3965,418,Disappointed Shoes!,2
23,3456,318,Not good Mens Jackets!,2
24,840,370,Love this Accessories!,5
25,127,228,Love this Dresses!,5
26,4296,12,Amazing Shirts!,4
27,968,470,Not good Shoes!,1
28,3012,233,Bad Pants!,1
29,4819,343,Poor quality Shirts!,2
30,2105,273,Love this Accessories!,5
31,2514,339,Bad Shirts!,2
32,2517,3,Average Shoes.,3
33,416,75,Excellent Shoes!,4
34,705,254,Amazing Shirts!,5
35,1365,491,Great Pants!,4
36,1997,8,Love this Mens Jackets!,4
37,4359,413,Disappointed Shoes!,1
38,609,282,Not good Mens Jackets!,2
39,2119,339,Okay Shoes.,3
40,4236,371,Bad Accessories!,1
41,2560,59,Not good Accessories!,2
42,395,306,Satisfactory Shoes.,3
43,1409,270,Not good Womens Sneakers!,2
44,2171,59,Amazing Dresses!,5
45,4909,248,Great Pants!,5
46,2418,50,Amazing Pants!,5
47,2906,159,Love this Shirts!,5
48,2783,356,Satisfactory Womens Sneakers.,3
49,221,487,Too small Pants!,1
50,2451,82,Great Womens Sneakers!,5
51,137,383,Poor quality Accessories!,1
52,4504,142,Not good Pants!,2
53,1354,66,Satisfactory Shirts.,3
54,2863,466,Disappointed Pants!,2
55,2210,128,Amazing Shoes!,4
56,3455,213,Love this Womens Sneakers!,5
57,1944,309,Bad Shoes!,2
58,4279,334,Average Accessories.,3
59,2216,377,Not good Mens Jackets!,2
60,2489,245,Great Shirts!,4
61,3991,116,Satisfactory Dresses.,3
62,2951,496,Disappointed Pants!,1
63,425,50,Poor quality Accessories!,1
64,4942,132,Very good Womens Sneakers!,4
65,838,45,Not good Womens Sneakers!,2
66,941,287,Great Pants!,4
67,2699,441,Excellent Shirts!,5
68,1655,375,Amazing Pants!,5
69,1346,219,Too small Accessories!,1
70,925,307,Satisfactory Accessories.,3
71,310,49,Not good Womens Sneakers!,1
72,104,149,Disappointed Shirts!,2
73,1142,413,Poor quality Mens Jackets!,2
74,3712,2,Bad Shoes!,2
75,956,378,Bad Womens Sneakers!,2
76,870,420,Disappointed Shoes!,2
77,4989,135,Poor quality Shirts!,2
78,2536,419,Love this Accessories!,4
79,1923,498,Poor quality Shirts!,1
80,1787,191,Very good Shirts!,5
81,2074,496,Average Shirts.,3
82,1146,175,Love this Pants!,5
83,969,474,Bad Pants!,1
84,4903,234,Excellent Shoes!,4
85,2599,156,Average Shoes.,3
86,4333,250,Not good Mens Jackets!,2
87,4917,392,Amazing Accessories!,5
88,226,490,Okay Accessories.,3
89,2133,307,Bad Pants!,1
90,4278,444,Amazing Shirts!,5
91,949,152,Great Shirts!,4
92,4890,241,Love this Shoes!,5
93,2941,150,Satisfactory Dresses.,3
94,2619,110,Too small Shirts!,1
95,3170,247,Great Womens Sneakers!,4
96,47,296,Not good Shoes!,1
97,1277,7,Disappointed Shirts!,2
98,3177,471,Too small Mens Jackets!,1
99,2883,441,Satisfactory Dresses.,3
100,625,312,Poor quality Mens Jackets!,2
101,242,114,Bad Dresses!,1
102,406,219,Amazing Womens Sneakers!,4
103,4884,250,Okay Womens Sneakers.,3
104,4123,87,Too small Mens Jackets!,2
105,2295,204,Love this Pants!,5
106,1822,290,Very good Shoes!,4
107,2987,91,Love this Shoes!,5
108,98,65,Too small Shoes!,1
109,2997,483,Disappointed Womens Sneakers!,1
110,2085,11,Poor quality Shirts!,2
111,2392,261,Great Dresses!,4
112,3717,220,Excellent Shoes!,4
113,1974,330,Excellent Accessories!,4
114,624,405,Great Shirts!,5
115,885,243,Satisfactory Pants.,3
116,317,212,Disappointed Pants!,2
117,4861,196,Not good Accessories!,1
118,345,451,Amazing Accessories!,4
119,1205,418,Satisfactory Accessories.,3
120,1287,284,Okay Womens Sneakers.,3
121,2373,90,Great Mens Jackets!,5
122,2136,259,Amazing Mens Jackets!,5
123,3814,396,Excellent Shirts!,4
124,65,288,Great Shirts!,4
125,1204,289,Disappointed Mens Jackets!,2
126,3445,499,Bad Pants!,1
127,2367,458,Bad Womens Sneakers!,2
128,3533,366,Love this Mens Jackets!,5
129,1017,463,Not good Mens Jackets!,1
130,1287,333,Satisfactory Womens Sneakers.,3
131,2149,157,Amazing Pants!,5
132,4199,81,Very good Womens Sneakers!,5
133,3175,479,Too small Womens Sneakers!,2
134,670,372,Excellent Shirts!,4
135,1930,93,Average Womens Sneakers.,3
136,127,311,Poor quality Shoes!,1
137,1443,453,Poor quality Womens Sneakers!,2
138,3070,280,Love this Mens Jackets!,5
139,3489,382,Poor quality Dresses!,2
140,1680,141,Poor quality Accessories!,1
141,4177,498,Very good Shoes!,5
142,1623,15,Love this Pants!,5
143,4227,495,Love this Mens Jackets!,5
144,2089,434,Very good Pants!,5
145,749,176,Amazing Shoes!,4
146,401,140,Love this Womens Sneakers!,4
147,1365,311,Great Womens Sneakers!,5
148,4935,39,Excellent Accessories!,4
149,625,183,Great Accessories!,4
150,459,86,Okay Dresses.,3
151,4785,20,Poor quality Womens Sneakers!,1
152,958,126,Love this Accessories!,5
153,1501,223,Too small Mens Jackets!,1
154,4653,149,Bad Pants!,2
155,2811,267,Excellent Shoes!,4
156,2931,291,Love this Mens Jackets!,5
157,1881,249,Great Womens Sneakers!,5
158,3263,186,Very good Accessories!,5
159,376,115,Poor quality Womens Sneakers!,1
160,1329,496,Average Mens Jackets.,3
161,4558,14,Disappointed Accessories!,1
162,1976,495,Okay Accessories.,3
163,2343,322,Not good Shoes!,2
164,3897,457,Very good Dresses!,5
165,1074,279,Average Pants.,3
166,3435,85,Excellent Pants!,4
167,2526,20,Very good Womens Sneakers!,5
168,2147,302,Great Dresses!,4
169,598,115,Great Mens Jackets!,4
170,3330,309,Too small Pants!,2
171,4153,44,Satisfactory Mens Jackets.,3
172,3242,266,Amazing Mens Jackets!,4
173,3438,152,Love this Shirts!,5
174,3871,497,Poor quality Shirts!,1
175,3706,459,Too small Womens Sneakers!,2
176,1464,269,Bad Shirts!,1
177,2572,323,Bad Shoes!,2
178,3302,445,Disappointed Mens Jackets!,1
179,2171,469,Satisfactory Mens Jackets.,3
180,558,325,Great Accessories!,4
181,3703,7,Love this Shirts!,5
182,706,343,Okay Shirts.,3
183,2472,461,Satisfactory Mens Jackets.,3
184,3237,184,Satisfactory Mens Jackets.,3
185,2543,395,Average Pants.,3
186,4370,200,Too small Shirts!,1
187,907,341,Too small Dresses!,2
188,2796,104,Amazing Womens Sneakers!,5
189,4645,270,Amazing Womens Sneakers!,5
190,3139,178,Amazing Accessories!,5
191,4679,400,Okay Pants.,3
192,965,303,Satisfactory Dresses.,3
193,2796,491,Average Dresses.,3
194,4718,147,Love this Mens Jackets!,4
195,3929,64,Very good Shirts!,4
196,3975,81,Too small Mens Jackets!,2
197,1830,152,Love this Shirts!,4
198,29,130,Okay Shirts.,3
199,3234,357,Average Womens Sneakers.,3
200,3307,361,Amazing Mens Jackets!,5
201,2376,376,Disappointed Dresses!,2
202,1285,311,Not good Womens Sneakers!,2
203,2225,298,Poor quality Shoes!,1
204,4062,178,Excellent Pants!,4
205,3182,25,Not good Shirts!,2
206,4040,476,Excellent Mens Jackets!,5
207,2088,332,Satisfactory Shoes.,3
208,2835,76,Too small Dresses!,2
209,1954,455,Bad Womens Sneakers!,1
210,3729,239,Not good Mens Jackets!,2
211,1385,151,Okay Pants.,3
212,2547,108,Too small Womens Sneakers!,2
213,1133,159,Average Dresses.,3
214,4115,434,Satisfactory Womens Sneakers.,3
215,4796,379,Not good Womens Sneakers!,2
216,2088,375,Satisfactory Pants.,3
217,4756,31,Not good Shirts!,1
218,3191,477,Very good Dresses!,4
219,4087,291,Bad Mens Jackets!,2
220,2494,297,Poor quality Shoes!,2
221,3857,372,Not good Mens Jackets!,1
222,3699,327,Bad Dresses!,2
223,2058,175,Disappointed Pants!,2
224,1052,116,Amazing Womens Sneakers!,5
225,1207,191,Very good Shirts!,4
226,1790,142,Poor quality Shirts!,1
227,3245,150,Love this Mens Jackets!,5
228,313,211,Okay Pants.,3
229,3462,178,Disappointed Shirts!,2
230,2111,208,Love this Shoes!,5
231,2260,219,Amazing Shirts!,5
232,623,321,Excellent Womens Sneakers!,4
233,458,153,Poor quality Womens Sneakers!,1
234,1887,94,Bad Dresses!,2
235,4691,17,Amazing Shoes!,5
236,4220,264,Bad Dresses!,2
237,2931,493,Disappointed Pants!,1
238,2208,139,Disappointed Pants!,2
239,2696,110,Okay Dresses.,3
240,2618,267,Excellent Shoes!,5
241,996,132,Very good Shirts!,5
242,348,268,Disappointed Womens Sneakers!,2
243,4177,227,Great Shoes!,5
244,3364,186,Disappointed Accessories!,1
245,319,480,Okay Womens Sneakers.,3
246,4959,430,Amazing Shoes!,4
247,709,267,Very good Shoes!,4
248,4090,223,Satisfactory Shoes.,3
249,3532,332,Disappointed Dresses!,1
250,31,262,Disappointed Shoes!,2
251,4199,143,Bad Accessories!,1
252,1231,25,Love this Shoes!,4
253,1412,100,Very good Womens Sneakers!,5
254,1762,154,Great Shoes!,4
255,1223,435,Poor quality Dresses!,2
256,3065,396,Average Shoes.,3
257,573,205,Disappointed Womens Sneakers!,1
258,3704,184,Bad Pants!,1
259,3815,410,Okay Accessories.,3
260,4379,411,Not good Dresses!,1
261,1253,232,Love this Shoes!,5
262,3966,120,Not good Dresses!,2
263,4545,89,Excellent Accessories!,4
264,3773,486,Too small Dresses!,1
265,1496,369,Okay Mens Jackets.,3
266,1664,36,Not good Womens Sneakers!,2
267,187,26,Excellent Dresses!,4
268,37,216,Bad Mens Jackets!,1
269,156,10,Excellent Accessories!,5
270,3470,277,Amazing Pants!,5
271,1861,58,Not good Accessories!,2
272,2923,410,Too small Shirts!,1
273,3134,454,Bad Accessories!,1
274,3864,77,Too small Womens Sneakers!,1
275,909,240,Amazing Mens Jackets!,5
276,2783,341,Very good Mens Jackets!,5
277,176,197,Excellent Shoes!,5
278,1468,24,Too small Pants!,2
279,4151,175,Great Dresses!,5
280,3819,144,Average Mens Jackets.,3
281,4207,52,Not good Shirts!,1
282,2264,27,Average Pants.,3
283,2515,79,Okay Pants.,3
284,4833,470,Not good Shirts!,2
285,1044,111,Amazing Pants!,5
286,4207,295,Average Dresses.,3
287,700,474,Very good Pants!,5
288,978,78,Not good Shirts!,2
289,3972,362,Great Womens Sneakers!,5
290,3709,163,Poor quality Pants!,1
291,1621,146,Poor quality Pants!,1
292,4414,45,Disappointed Shirts!,1
293,885,6,Satisfactory Dresses.,3
